date,actual_open,actual_high,actual_low,actual_close,pred_open,pred_high,pred_low,pred_close
2021-10-29,3519.3276,3547.3361,3502.8012999999996,3547.3361,3567.9531,3609.0718,3520.4675,3568.5193
2021-11-01,3530.3962999999994,3556.59,3519.2901000000006,3544.4795000000004,3558.8281,3599.8254,3511.521,3559.4092
2021-11-02,3543.3827,3559.0478,3477.664,3505.6283000000003,3557.8618,3598.8586,3510.586,3558.457
2021-11-03,3501.1051,3512.6089,3480.4876999999997,3498.5368,3551.4739,3592.3784,3504.3152,3552.0713
2021-11-04,3505.8944000000006,3527.9517000000005,3503.0059000000006,3526.8657,3518.1362,3558.5132,3471.5466,3518.698
2021-11-05,3520.2073,3525.8723,3491.4565,3491.5677000000005,3510.1514,3550.4272,3463.7236,3510.7317
2021-11-08,3491.9709,3507.2744,3484.2398999999996,3498.6307999999995,3506.8745,3547.1177,3460.5217,3507.4717
2021-11-09,3507.1075,3514.9512,3489.0431,3507.0018,3498.8557,3538.9814,3452.6492,3499.454
2021-11-10,3498.9444999999996,3498.9445,3448.4378,3492.4616,3495.4375,3535.518,3449.2983,3496.042
2021-11-11,3486.451,3534.1991,3482.8291,3532.7858,3490.7698,3530.7854,3444.719,3491.3784
2021-11-12,3534.1512,3543.648,3527.3896,3539.1002,3509.924,3550.2556,3463.5588,3510.5667
2021-11-15,3542.9034,3550.4438,3521.2924,3533.3026,3526.416,3566.996,3479.7576,3527.0635
2021-11-16,3530.4575,3549.7654,3517.8065000000006,3521.7867,3534.532,3575.2227,3487.7173,3535.17
2021-11-17,3518.5646,3537.5125,3513.523,3537.3662,3532.4048,3573.048,3485.6125,3533.026
2021-11-18,3531.4923,3537.9757999999997,3513.1136,3520.7106000000003,3526.5647,3567.1104,3479.867,3527.1733
2021-11-19,3519.2758,3561.9127,3517.6514,3560.3733999999995,3523.8435,3564.3494,3477.1948,3524.4526
2021-11-22,3562.7627999999995,3585.1876,3562.7505,3582.0797000000002,3540.9287,3581.715,3493.9988,3541.567
2021-11-23,3580.5058,3598.3749,3577.3608,3589.0894,3566.4824,3607.6636,3519.1074,3567.139
2021-11-24,3590.0188999999996,3602.7354,3575.2884,3592.7025,3591.5452,3633.101,3543.721,3592.2058
2021-11-25,3593.3883,3597.1477999999997,3579.5333,3584.1788,3599.7307,3641.3855,3551.7363,3600.3674
2021-11-26,3576.1136,3576.1136,3554.8798000000006,3564.0894,3589.8252,3631.2996,3541.9758,3590.426
2021-11-29,3528.672,3563.6769999999997,3526.3550999999998,3562.6968,3570.4138,3611.5774,3522.892,3570.9897
2021-11-30,3570.7468000000003,3582.115,3546.3618,3563.8872,3562.131,3603.1824,3514.769,3562.7173
2021-12-01,3561.8860000000004,3576.8853,3558.691,3576.8853,3568.408,3609.576,3520.956,3569.0198
2021-12-02,3573.2468,3586.867,3567.137,3573.8358,3575.4773,3616.757,3527.9053,3576.097
2021-12-03,3576.4496,3608.4697999999994,3573.2135,3607.4322,3583.6873,3625.0906,3535.9685,3584.309
2021-12-06,3615.2356000000004,3626.1257,3586.8052,3589.3061,3606.0752,3647.826,3557.9683,3606.714
2021-12-07,3611.2170000000006,3614.2228,3572.5688,3595.0882,3623.013,3665.0117,3574.5967,3623.6487
2021-12-08,3602.824,3637.7150000000006,3591.9857000000006,3637.5675,3627.5537,3669.6028,3579.0388,3628.1716
2021-12-09,3641.1579,3688.3967999999995,3638.7022,3673.0412,3630.9739,3673.0615,3582.3855,3631.5793
2021-12-10,3654.3684,3667.8547,3651.3525,3666.3478999999998,3663.3774,3705.9731,3614.2317,3664.0132
2021-12-13,3686.9368,3708.9424000000004,3678.0583000000006,3681.082,3679.666,3722.491,3630.2148,3680.2898
2021-12-14,3669.8067,3671.6784,3654.6561,3661.5252999999993,3696.9287,3740.0037,3647.1602,3697.5464
2021-12-15,3655.0488999999993,3668.4016,3645.2425,3647.6302999999994,3680.622,3723.4092,3631.102,3681.1907
2021-12-16,3648.9271,3675.016,3644.6646,3675.0159999999996,3664.5842,3707.118,3615.3381,3665.1355
2021-12-17,3670.2578,3673.6535000000003,3631.6605,3632.3638,3668.6997,3711.3152,3619.3997,3669.2727
2021-12-20,3620.0371,3643.9537,3589.3602999999994,3593.6019,3666.2761,3708.8562,3617.0208,3666.8496
2021-12-21,3591.4519,3627.0884,3591.4519,3625.1251,3651.5413,3693.8928,3602.5413,3652.1035
2021-12-22,3632.6763,3635.8992,3616.5477,3622.6178,3646.737,3689.0251,3597.831,3647.3071
2021-12-23,3625.4695,3643.5459,3618.0479999999993,3643.3391,3641.7542,3683.9656,3592.9363,3642.3223
2021-12-24,3645.3948000000005,3648.9555999999993,3612.0672999999997,3618.0535000000004,3644.2358,3686.4902,3595.38,3644.8108
2021-12-27,3613.0469,3632.188,3601.9351,3615.9741000000004,3640.5813,3682.777,3591.7869,3641.1511
2021-12-28,3619.6418999999996,3631.0765999999994,3607.3642999999997,3630.1115000000004,3624.0823,3666.016,3575.5688,3624.6338
2021-12-29,3630.9159,3630.9159000000004,3596.3225,3597.0002,3616.691,3658.519,3568.3152,3617.2466
2021-12-30,3596.4921000000004,3628.9177,3595.4957,3619.1886,3603.019,3644.64,3554.8853,3603.569
2021-12-31,3626.242,3642.843,3624.9418999999994,3639.7754,3606.6182,3648.3137,3558.441,3607.1914
2022-01-04,3649.151,3651.8924,3610.0922,3632.3289,3627.1602,3669.1877,3578.6396,3627.7632
2022-01-05,3628.2634,3628.2634,3583.4668000000006,3595.1761,3655.2146,3697.679,3606.2078,3655.8406
2022-01-06,3581.2184,3594.489,3559.8803,3586.0792,3657.0588,3699.526,3607.9934,3657.6584
2022-01-07,3588.9851,3607.2316,3577.0975999999996,3579.5427000000004,3629.919,3671.9382,3581.2983,3630.4697
2022-01-10,3572.7434,3593.5187,3555.1255,3593.5187,3619.9033,3661.7793,3571.468,3620.4587
2022-01-11,3589.9042999999997,3602.1454000000003,3562.7541000000006,3567.4409,3601.6562,3643.2554,3553.5444,3602.2043
2022-01-12,3578.1629,3599.4993,3572.0964999999997,3597.4321,3583.2659,3624.5906,3535.4846,3583.8115
2022-01-13,3601.0265,3601.0725,3555.1576,3555.2585,3584.8984,3626.2734,3537.1138,3585.472
2022-01-14,3544.0651999999995,3548.4204,3519.3222,3521.2559000000006,3581.3853,3622.714,3533.67,3581.9644
2022-01-17,3522.0851000000002,3546.0853,3519.4257,3541.6659999999997,3565.496,3606.5808,3518.0586,3566.0662
2022-01-18,3541.8899,3579.3126000000007,3531.3295,3569.9144000000006,3547.233,3588.04,3500.1184,3547.795
2022-01-19,3567.6309,3578.7347999999997,3541.6619,3558.1796,3561.6152,3602.674,3514.2793,3562.2188
2022-01-20,3556.2262,3576.2594,3540.5545,3555.0629,3563.028,3604.1057,3515.6646,3563.6294
2022-01-21,3546.7495,3547.0003000000006,3514.8853,3522.5679,3571.146,3612.3528,3523.6445,3571.7566
2022-01-24,3508.2441,3531.6081,3500.1391000000003,3524.105,3550.2532,3591.119,3503.0974,3550.8303
2022-01-25,3509.2847,3519.8334,3433.0612,3433.0611999999996,3522.565,3563.001,3475.8896,3523.1206
2022-01-26,3442.6916000000006,3462.1232999999997,3417.7585,3455.6679,3482.0054,3521.8257,3436.047,3482.5442
2022-01-27,3456.1021,3456.363,3392.0154,3394.2474,3456.651,3496.1157,3411.1702,3457.2104
2022-01-28,3407.5932999999995,3417.0453,3356.5557999999996,3361.4396999999994,3423.299,3462.2715,3378.4219,3423.8599
2022-02-07,3407.7620999999995,3434.0256,3407.7621000000004,3429.5809,3396.0022,3434.5857,3351.6328,3396.5789
2022-02-08,3428.5424,3453.1863,3390.4577999999997,3452.6288,3419.0894,3458.0825,3374.371,3419.7385
2022-02-09,3450.818,3484.7389999999996,3444.0848,3479.9458,3452.0242,3491.5425,3406.7483,3452.7131
2022-02-10,3481.9101,3488.8552000000004,3464.2169,3485.9071000000004,3478.505,3518.4165,3432.752,3479.1958
2022-02-11,3472.2757,3500.1471,3459.3299000000006,3462.9479,3491.773,3531.8616,3445.761,3492.443
2022-02-14,3451.8468,3457.2645,3415.4463,3428.8820999999994,3487.5916,3527.59,3441.6267,3488.232
2022-02-15,3428.0447,3447.4917000000005,3421.6403,3446.0884999999994,3454.9915,3494.465,3409.573,3455.5862
2022-02-16,3457.073,3475.0576,3453.8014000000003,3465.8305000000005,3430.7048,3469.817,3385.723,3431.2964
2022-02-17,3464.2091,3480.9719,3454.2767,3468.0354,3432.2148,3471.3806,3387.2368,3432.8396
2022-02-18,3451.6318,3490.7573,3447.0273000000007,3490.7573,3447.4287,3486.8525,3402.2087,3448.0881
2022-02-21,3488.4057,3492.1994,3471.6858,3490.6123,3467.232,3506.9675,3421.6726,3467.9114
2022-02-22,3473.2874,3473.3931,3437.6717,3457.146,3481.0938,3521.0308,3435.2805,3481.7698
2022-02-23,3458.5139,3490.7633000000005,3458.1795,3489.1465,3476.852,3516.7043,3431.0928,3477.5044
2022-02-24,3474.3692000000005,3486.9773,3400.2136,3429.9563999999996,3484.2861,3524.254,3438.398,3484.9438
