,Unnamed: 0,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
0,0,2001-09-03,sh.000001,16.529052639720298,16.53089696845901,16.165422405817772,16.24123819902291,1834.14,375806400,4566065371.0,3,0.004708,1,-0.924143,0.0
1,1,2001-09-04,sh.000001,16.203161734739915,17.13780011244456,16.196161218129554,17.13702668426381,1817.19,577795000,7228937238.0,3,0.007238,1,2.485708,0.0
2,2,2001-09-05,sh.000001,17.256035466639965,17.66337430850067,17.166238471705917,17.254230800884883,1862.36,576809800,7342648825.0,3,0.00721,1,0.317341,0.0
3,3,2001-09-06,sh.000001,17.24159814059933,17.416868865251956,16.957135222018515,17.12118132230438,1868.27,401022600,5237039339.0,3,0.00501,1,-0.359101,0.0
4,4,2001-09-07,sh.000001,17.05536060097353,17.05536060097353,16.04195153778346,16.075724568342793,1861.561,527958600,6510054132.0,3,0.006593,1,-2.831873,0.0
5,5,2001-09-10,sh.000001,15.70618454987968,17.0546070042846,15.401215868763124,17.021389255496054,1808.844,613546600,7570420330.0,3,0.00765,1,2.636217,0.0
6,6,2001-09-11,sh.000001,17.08955009286096,17.310948867473087,16.884214826618233,17.165187402639773,1856.529,518689900,6564937593.0,3,0.006468,1,0.390566,0.0
7,7,2001-09-12,sh.000001,16.339185937092523,17.064225277814415,16.209567306595858,16.943550650125886,1863.78,959252300,9852090612.0,3,0.011961,1,-0.599643,0.0
8,8,2001-09-13,sh.000001,16.923838147262707,17.047586656182418,16.65016356022874,16.691611378120122,1852.604,388451200,4730889777.0,3,0.004844,1,-0.685736,0.0
9,9,2001-09-14,sh.000001,16.66729796915608,16.81288095056307,16.192730370045723,16.26487733726526,1839.9,494513700,5505286687.0,3,0.006166,1,-1.169524,0.0
10,10,2001-09-17,sh.000001,16.13632960732655,16.22279491163583,15.553283747993305,15.59512819572096,1818.382,528683400,5668955973.0,3,0.006591,1,-1.857254,0.0
11,11,2001-09-18,sh.000001,15.594751397376491,16.24855601950229,15.504617267081613,15.873007059019514,1784.61,407328900,4488183676.0,3,0.005078,1,0.785156,0.0
12,12,2001-09-19,sh.000001,15.905074581282847,16.355903884691777,15.601097474756997,16.350410561459285,1798.622,396188900,4832961256.0,3,0.004939,1,1.338413,0.0
13,13,2001-09-20,sh.000001,16.424223373991197,16.62985611261115,16.187078394878718,16.26561110246238,1822.695,485792200,5820950887.0,3,0.006053,1,-0.234598,0.0
14,14,2001-09-21,sh.000001,16.20895253034962,16.32355872154305,15.975734186616322,16.039532095782143,1818.419,354027700,4024930901.0,3,0.004394,1,-0.626913,0.0
15,15,2001-09-24,sh.000001,15.997251355234575,16.072928327997012,15.734166784829313,15.800403967488258,1807.019,274466900,3276990847.0,3,0.003407,1,-0.667286,0.0
